PY,AU,TI,SO,VL,IS,DI,Z9,citesPerYear
1999,"Poe, SC; Tate, CN; Keith, LC",Repression of the human right to personal integrity revisited: A global cross-national study covering the years 1976-1993,INTERNATIONAL STUDIES QUARTERLY,43,2,10.1111/0020-8833.00121,426,19.363636363636363
1998,"Bloom, DE; Sachs, JD","Geography, demography, and economic growth in Africa",BROOKINGS PAPERS ON ECONOMIC ACTIVITY,NA,2,10.2307/2534695,428,18.608695652173914
2002,"Skidmore, M; Toya, H",Do natural disasters promote long-run growth?,ECONOMIC INQUIRY,40,4,10.1093/ei/40.4.664,351,18.473684210526315
2007,"Kurtz, Marcus J.; Schrank, Andrew","Growth and governance: Models, measures, and mechanisms",JOURNAL OF POLITICS,69,2,10.1111/j.1468-2508.2007.00549.x,253,18.071428571428573
2004,"Egri, CP; Ralston, DA",Generation cohorts and personal values: A comparison of China and the United States,ORGANIZATION SCIENCE,15,2,10.1287/orsc.1030.0048,298,17.529411764705884
2009,"Klasen, Stephan; Lamanna, Francesca",THE IMPACT OF GENDER INEQUALITY IN EDUCATION AND EMPLOYMENT ON ECONOMIC GROWTH: NEW EVIDENCE FOR A PANEL OF COUNTRIES,FEMINIST ECONOMICS,15,3,10.1080/13545700902893106,207,17.25
2016,"Aguilera, Ruth V.; Crespi-Cladera, Rafel",Global corporate governance: On the relevance of firms' ownership structure,JOURNAL OF WORLD BUSINESS,51,1,10.1016/j.jwb.2015.10.003,85,17
2003,"Welzel, C; Inglehart, R; Klingemann, HD",The theory of human development: A cross-cultural analysis,EUROPEAN JOURNAL OF POLITICAL RESEARCH,42,3,10.1111/1475-6765.00086,269,14.944444444444445
2014,"Scott, Isabel M.; Clark, Andrew P.; Josephson, Steven C.; Boyette, Adam H.; Cuthill, Innes C.; Fried, Ruby L.; Gibson, Mhairi A.; Hewlett, Barry S.; Jamieson, Mark; Jankowiak, William; Honey, P. Lynne; Huang, Zejun; Liebert, Melissa A.; Purzycki, Benjamin G.; Shaver, John H.; Snodgrass, J. Josh; Sosis, Richard; Sugiyama, Lawrence S.; Swami, Viren; Yu, Douglas W.; Zhao, Yangke; Penton-Voak, Ian S.",Human preferences for sexually dimorphic faces may be evolutionarily novel,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,111,40,10.1073/pnas.1409643111,102,14.571428571428571
2009,"Bruelhart, Marius; Sbergami, Federica",Agglomeration and growth: Cross-country evidence,JOURNAL OF URBAN ECONOMICS,65,1,10.1016/j.jue.2008.08.003,172,14.333333333333334
2005,"Beck, T; Demirguc-Kunt, A; Levine, R","SMEs, growth, and poverty: Cross-country evidence",JOURNAL OF ECONOMIC GROWTH,10,3,10.1007/s10887-005-3533-5,226,14.125
2011,"Nivette, Amy E.",Cross-National Predictors of Crime: A Meta-Analysis,HOMICIDE STUDIES,15,2,10.1177/1088767911406397,138,13.8
2002,"Ehrhardt-Martinez, K; Crenshaw, EM; Jenkins, JC",Deforestation and the environmental Kuznets curve: A cross-national investigation of intervening mechanisms,SOCIAL SCIENCE QUARTERLY,83,1,10.1111/1540-6237.00080,248,13.052631578947368
2013,"Rai, Dheeraj; Zitko, Pedro; Jones, Kelvyn; Lynch, John; Araya, Ricardo",Country- and individual-level socioeconomic determinants of depression: multilevel cross-national comparison,BRITISH JOURNAL OF PSYCHIATRY,202,3,10.1192/bjp.bp.112.112482,102,12.75
2011,"Holzner, Mario",Tourism and economic development: The beach disease?,TOURISM MANAGEMENT,32,4,10.1016/j.tourman.2010.08.007,127,12.7
2015,"Calderon, Cesar; Moral-Benito, Enrique; Serven, Luis",IS INFRASTRUCTURE CAPITAL PRODUCTIVE? A DYNAMIC HETEROGENEOUS APPROACH,JOURNAL OF APPLIED ECONOMETRICS,30,2,10.1002/jae.2373,76,12.666666666666666
2010,"Roskam, Albert-Jan R.; Kunst, Anton E.; Van Oyen, Herman; Demarest, Stefaan; Klumbiene, Jurate; Regidor, Enrique; Helmert, Uwe; Jusot, Florence; Dzurova, Dagmar; Mackenbach, Johan P.",Comparative appraisal of educational inequalities in overweight and obesity among adults in 19 European countries,INTERNATIONAL JOURNAL OF EPIDEMIOLOGY,39,2,10.1093/ije/dyp329,139,12.636363636363637
2010,"Cumming, Douglas; Schmidt, Daniel; Walz, Uwe",Legality and venture capital governance around the world,JOURNAL OF BUSINESS VENTURING,25,1,10.1016/j.jbusvent.2008.07.001,139,12.636363636363637
2019,"Mealy, Penny; Farmer, J. Doyne; Teytelboym, Alexander",Interpreting economic complexity,SCIENCE ADVANCES,5,1,10.1126/sciadv.aau1705,25,12.5
1997,"Gureje, O; Simon, GE; Ustun, TB; Goldberg, DP",Somatization in cross-cultural perspective: A World Health Organization study in primary care,AMERICAN JOURNAL OF PSYCHIATRY,154,7,NA,298,12.416666666666666
2001,"Curtis, JE; Baer, DE; Grabb, EG",Nations of joiners: Explaining voluntary association membership in democratic societies,AMERICAN SOCIOLOGICAL REVIEW,66,6,10.2307/3088873,248,12.4
2010,"Lozano-Vivas, Ana; Pasiouras, Fotios",The impact of non-traditional activities on the estimation of bank efficiency: International evidence,JOURNAL OF BANKING & FINANCE,34,7,10.1016/j.jbankfin.2010.01.006,136,12.363636363636363
2018,"Adams, Samuel; Klobodu, Edem Kwame Mensah",Financial development and environmental degradation: Does political regime matter?,JOURNAL OF CLEANER PRODUCTION,197,NA,10.1016/j.jclepro.2018.06.252,37,12.333333333333334
2007,"Qian, Yi","National patent laws stimulate domestic innovation in a global patenting environment? A cross-country analysis of pharmaceutical patent protection, 1978-2002",REVIEW OF ECONOMICS AND STATISTICS,89,3,10.1162/rest.89.3.436,172,12.285714285714286
2014,"Gaddis, Isis; Klasen, Stephan","Economic development, structural change, and women's labor force participation: A reexamination of the feminization U hypothesis",JOURNAL OF POPULATION ECONOMICS,27,3,10.1007/s00148-013-0488-2,83,11.857142857142858
2002,"Bockstette, V; Chanda, A; Putterman, L",States and markets: The advantage of an early start,JOURNAL OF ECONOMIC GROWTH,7,4,10.1023/A:1020827801137,225,11.842105263157896
2018,"Owen, Ann L.; Pereira, Javier M.","Bank concentration, competition, and financial inclusion",REVIEW OF DEVELOPMENT FINANCE,8,1,10.1016/j.rdf.2018.05.001,35,11.666666666666666
2008,"Levels, Mark; Dronkers, Jaap; Kraaykamp, Gerbert","Immigrant Children's Educational Achievement in Western Countries: Origin, Destination, and Community Effects on Mathematical Performance",AMERICAN SOCIOLOGICAL REVIEW,73,5,10.1177/000312240807300507,151,11.615384615384615
1995,"DAVENPORT, C",MULTIDIMENSIONAL THREAT PERCEPTION AND STATE REPRESSION - AN INQUIRY INTO WHY STATES APPLY NEGATIVE SANCTIONS,AMERICAN JOURNAL OF POLITICAL SCIENCE,39,3,10.2307/2111650,301,11.576923076923077
2002,"Klasen, S","Low schooling for girls, slower growth for all? Cross-country evidence on the effect of gender inequality in education on economic development",WORLD BANK ECONOMIC REVIEW,16,3,10.1093/wber/lhf004,217,11.421052631578947
1998,"Sinclair, MT",Tourism and economic development: A survey,JOURNAL OF DEVELOPMENT STUDIES,34,5,10.1080/00220389808422535,257,11.173913043478262
2008,"Knudsen, Knud; Waerness, Kari",National context and spouses housework in 34 countries,EUROPEAN SOCIOLOGICAL REVIEW,24,1,10.1093/esr/jcm037,145,11.153846153846153
2005,"Rigobon, R; Rodrik, D","Rule of law, democracy, openness, and income - Estimating the interrelationships",ECONOMICS OF TRANSITION,13,3,10.1111/j.1468-0351.2005.00226.x,176,11
2019,"Beladi, Hamid; Chao, Chi-Chur; Ee, Mong Shan; Hollas, Daniel",Does Medical Tourism Promote Economic Growth? A Cross-Country Analysis,JOURNAL OF TRAVEL RESEARCH,58,1,10.1177/0047287517735909,22,11
2011,"Roe, Mark J.; Siegel, Jordan I.","Political instability: Effects on financial development, roots in the severity of economic inequality",JOURNAL OF COMPARATIVE ECONOMICS,39,3,10.1016/j.jce.2011.02.001,109,10.9
2016,"Jorgenson, Andrew K.; Schor, Juliet B.; Knight, Kyle W.; Huang, Xiaorui",Domestic Inequality and Carbon Emissions in Comparative Perspective,SOCIOLOGICAL FORUM,31,NA,10.1111/socf.12272,54,10.8
2012,"Lansford, Jennifer E.; Deater-Deckard, Kirby",Childrearing Discipline and Violence in Developing Countries,CHILD DEVELOPMENT,83,1,10.1111/j.1467-8624.2011.01676.x,97,10.777777777777779
1997,"Roberts, JT; Grimes, PE",Carbon intensity and economic development 1962-91: A brief exploration of the environmental Kuznets Curve,WORLD DEVELOPMENT,25,2,10.1016/S0305-750X(96)00104-0,257,10.708333333333334
2016,"Beynon, Malcolm J.; Jones, Paul; Pickernell, David",Country-based comparison analysis using fsQCA investigating entrepreneurial attitudes and activity,JOURNAL OF BUSINESS RESEARCH,69,4,10.1016/j.jbusres.2015.10.091,53,10.6
2019,"Reinsberg, Bernhard; Stubbs, Thomas; Kentikelenis, Alexander; King, Lawrence",The World System and the Hollowing Out of State Capacity: How Structural Adjustment Programs Affect Bureaucratic Quality in Developing Countries(1),AMERICAN JOURNAL OF SOCIOLOGY,124,4,10.1086/701703,21,10.5
2011,"Jones-Smith, Jessica C.; Gordon-Larsen, Penny; Siddiqi, Arjumand; Popkin, Barry M.","Cross-National Comparisons of Time Trends in Overweight Inequality by Socioeconomic Status Among Women Using Repeated Cross-Sectional Surveys From 37 Developing Countries, 1989-2007",AMERICAN JOURNAL OF EPIDEMIOLOGY,173,6,10.1093/aje/kwq428,104,10.4
1996,"Demirguc-kunt, A; Levine, R",Stock market development and financial intermediaries: Stylized facts,WORLD BANK ECONOMIC REVIEW,10,2,10.1093/wber/10.2.291,259,10.36
2018,"Sethi, Dinabandhu; Acharya, Debashis",Financial inclusion and economic growth linkage: some cross country evidence,JOURNAL OF FINANCIAL ECONOMIC POLICY,10,3,10.1108/JFEP-11-2016-0073,31,10.333333333333334
2008,"Bagliani, Marco; Bravo, Giangiacomo; Dalmazzone, Silvana",A consumption-based approach to environmental Kuznets curves using the ecological footprint indicator,ECOLOGICAL ECONOMICS,65,3,10.1016/j.ecolecon.2008.01.010,133,10.23076923076923
2011,"Knight, Kyle W.; Rosa, Eugene A.",The environmental efficiency of well-being: A cross-national analysis,SOCIAL SCIENCE RESEARCH,40,3,10.1016/j.ssresearch.2010.11.002,102,10.2
2000,"Mammen, K; Paxson, C",Women's work and economic development,JOURNAL OF ECONOMIC PERSPECTIVES,14,4,10.1257/jep.14.4.141,212,10.095238095238095
2000,"Duffy, J; Papageorgiou, C",A cross country empirical investigation of the aggregate production function specification,JOURNAL OF ECONOMIC GROWTH,5,1,10.1023/A:1009830421147,211,10.047619047619047
2010,"Lippa, Richard A.; Collaer, Marcia L.; Peters, Michael",Sex Differences in Mental Rotation and Line Angle Judgments Are Positively Associated with Gender Equality and Economic Development Across 53 Nations,ARCHIVES OF SEXUAL BEHAVIOR,39,4,10.1007/s10508-008-9460-8,110,10
2019,"Chan, Hoi-Wing; Pong, Vivien; Tam, Kim-Pong",Cross-National Variation of Gender Differences in Environmental Concern: Testing the Sociocultural Hindrance Hypothesis,ENVIRONMENT AND BEHAVIOR,51,1,10.1177/0013916517735149,20,10
2002,"Baker, DP; Goesling, B; Letendre, GK","Socioeconomic status, school quality, and national economic development: A cross-national analysis of the ""Heyneman-Loxley effect"" on mathematics and science achievement",COMPARATIVE EDUCATION REVIEW,46,3,10.1086/341159,189,9.947368421052632
2006,"Jorgenson, Andrew K.","Unequal ecological exchange and environmental degradation: A theoretical proposition and cross-national study of deforestation, 1990-2000",RURAL SOCIOLOGY,71,4,10.1526/003601106781262016,148,9.866666666666667
2010,"Bjornskov, Christian; Dreher, Axel; Fischer, Justina A. V.",Formal institutions and subjective well-being: Revisiting the cross-country evidence,EUROPEAN JOURNAL OF POLITICAL ECONOMY,26,4,10.1016/j.ejpoleco.2010.03.001,107,9.727272727272727
2000,"Husted, BW",The impact of national culture on software piracy,JOURNAL OF BUSINESS ETHICS,26,3,10.1023/A:1006250203828,201,9.571428571428571
2008,"Pilgrim, Sarah E.; Cullen, Leanne C.; Smith, David J.; Pretty, Jules",Ecological knowledge is lost in wealthier communities and countries,ENVIRONMENTAL SCIENCE & TECHNOLOGY,42,4,10.1021/es070837v,124,9.538461538461538
2009,"Jorgenson, Andrew K.; Clark, Brett","The Economy, Military, and Ecologically Unequal Exchange Relationships in Comparative Perspective: A Panel Study of the Ecological Footprints of Nations, 1975-2000",SOCIAL PROBLEMS,56,4,10.1525/sp.2009.56.4.621,114,9.5
2011,"Freytag, Andreas; Krueger, Jens J.; Meierrieks, Daniel; Schneider, Friedrich",The origins of terrorism: Cross-country estimates of socio-economic determinants of terrorism,EUROPEAN JOURNAL OF POLITICAL ECONOMY,27,NA,10.1016/j.ejpoleco.2011.06.009,95,9.5
2010,"Lippa, Richard A.",Sex Differences in Personality Traits and Gender-Related Occupational Preferences across 53 Nations: Testing Evolutionary and Social-Environmental Theories,ARCHIVES OF SEXUAL BEHAVIOR,39,3,10.1007/s10508-008-9380-7,104,9.454545454545455
2017,"Asongu, Simplice A.; Kodila-Tedika, Oasis",Is Poverty in the African DNA (Gene)?,SOUTH AFRICAN JOURNAL OF ECONOMICS,85,4,10.1111/saje.12165,37,9.25
2005,"Malhotra, NK; Ulgado, FM; Agarwal, J; Shainesh, G; Wu, L",Dimensions of service quality in developed and developing economies: multi-country cross-cultural comparisons,INTERNATIONAL MARKETING REVIEW,22,3,10.1108/02651330510602204,147,9.1875
2015,"Garcia-Rodriguez, Francisco J.; Gil-Soto, Esperanza; Ruiz-Rosa, Ines; Sene, Papa Mamour",Entrepreneurial intentions in diverse development contexts: a cross-cultural comparison between Senegal and Spain,INTERNATIONAL ENTREPRENEURSHIP AND MANAGEMENT JOURNAL,11,3,10.1007/s11365-013-0291-2,55,9.166666666666666
2006,"Bishai, D; Quresh, A; James, P; Ghaffar, A",National road casualties and economic development,HEALTH ECONOMICS,15,1,10.1002/hec.1020,136,9.066666666666666
1995,"PARIKH, J; SHUKLA, V","URBANIZATION, ENERGY USE AND GREENHOUSE EFFECTS IN ECONOMIC-DEVELOPMENT - RESULTS FROM A CROSS-NATIONAL-STUDY OF DEVELOPING-COUNTRIES",GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS,5,2,10.1016/0959-3780(95)00015-G,232,8.923076923076923
2012,"Fincher, Corey L.; Thornhill, Randy",Parasite-stress promotes in-group assortative sociality: The cases of strong family ties and heightened religiosity,BEHAVIORAL AND BRAIN SCIENCES,35,2,10.1017/S0140525X11000021,80,8.88888888888889
2005,"Swami, Viren; Tovee, Martin J",Female physical attractiveness in Britain and Malaysia: a cross-cultural study.,Body image,2,2,10.1016/j.bodyim.2005.02.002,142,8.875
2005,"Iimi, A",Decentralization and economic growth revisited: an empirical note,JOURNAL OF URBAN ECONOMICS,57,3,10.1016/j.jue.2004.12.007,142,8.875
2014,"Aslan, Alper",Tourism development and economic growth in the Mediterranean countries: evidence from panel Granger causality tests,CURRENT ISSUES IN TOURISM,17,4,10.1080/13683500.2013.768607,62,8.857142857142858
2004,"Ross, ML",Does taxation lead to representation?,BRITISH JOURNAL OF POLITICAL SCIENCE,34,NA,10.1017/S0007123404000031,150,8.823529411764707
2011,"Schumacher, Ingmar; Strobl, Eric",Economic development and losses due to natural disasters: The role of hazard exposure,ECOLOGICAL ECONOMICS,72,NA,10.1016/j.ecolecon.2011.09.002,88,8.8
2013,"Caselli, Francesco; Gennaioli, Nicola",DYNASTIC MANAGEMENT,ECONOMIC INQUIRY,51,1,10.1111/j.1465-7295.2012.00467.x,70,8.75
1994,"MULLER, EN; SELIGSON, MA",CIVIC CULTURE AND DEMOCRACY - THE QUESTION OF CAUSAL RELATIONSHIPS,AMERICAN POLITICAL SCIENCE REVIEW,88,3,10.2307/2944800,235,8.703703703703704
2011,"Makino, Shige; Tsang, Eric W. K.",Historical ties and foreign direct investment: An exploratory study,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,42,4,10.1057/jibs.2010.53,87,8.7
2000,"Bollen, KA; Paxton, P",Subjective measures of liberal democracy,COMPARATIVE POLITICAL STUDIES,33,1,10.1177/0010414000033001003,179,8.523809523809524
2013,"Mihet, Roxana",Effects of culture on firm risk-taking: a cross-country and cross-industry analysis,JOURNAL OF CULTURAL ECONOMICS,37,1,10.1007/s10824-012-9186-2,68,8.5
2012,"Chowdhury, Rinku Roy; Moran, Emilio F.",Turning the curve: A critical review of Kuznets approaches,APPLIED GEOGRAPHY,32,1,10.1016/j.apgeog.2010.07.004,75,8.333333333333334
2005,"Urdal, H","People vs. Malthus: Population pressure, environmental degradation, and armed conflict revisited",JOURNAL OF PEACE RESEARCH,42,4,10.1177/0022343305054089,132,8.25
2006,"Boyle, Michael H.; Racine, Yvonne; Georgiades, Katholiki; Snelling, Dana; Hong, Sungjin; Omariba, Walter; Hurley, Patricia; Rao-Melacini, Purnima","The influence of economic development level, household wealth and maternal education on child health in the developing world",SOCIAL SCIENCE & MEDICINE,63,8,10.1016/j.socscimed.2006.04.034,123,8.2
2014,"Young, Andrew T.; Sheehan, Kathleen M.","Foreign aid, institutional quality, and growth",EUROPEAN JOURNAL OF POLITICAL ECONOMY,36,NA,10.1016/j.ejpoleco.2014.08.003,57,8.142857142857142
2013,"Siegel, Jordan I.; Licht, Amir N.; Schwartz, Shalom H.","Egalitarianism, Cultural Distance, and Foreign Direct Investment: A New Approach",ORGANIZATION SCIENCE,24,4,10.1287/orsc.1120.0776,65,8.125
1993,"BOLLEN, K",LIBERAL DEMOCRACY - VALIDITY AND METHOD FACTORS IN CROSS-NATIONAL MEASURES,AMERICAN JOURNAL OF POLITICAL SCIENCE,37,4,10.2307/2111550,225,8.035714285714286
1999,"Biggart, NW; Guillen, MF","Developing difference: Social organization and the rise of the auto industries of South Korea, Taiwan, Spain, and Argentina",AMERICAN SOCIOLOGICAL REVIEW,64,5,10.2307/2657373,176,8
2009,"Lippa, Richard A.","Sex Differences in Sex Drive, Sociosexuality, and Height across 53 Nations: Testing Evolutionary and Social Structural Theories",ARCHIVES OF SEXUAL BEHAVIOR,38,5,10.1007/s10508-007-9242-8,94,7.833333333333333
1998,"Rudel, TK","Is there a forest transition? Deforestation, reforestation, and development",RURAL SOCIOLOGY,63,4,10.1111/j.1549-0831.1998.tb00691.x,177,7.695652173913044
2009,"Dearmon, Jacob; Grier, Kevin",Trust and development,JOURNAL OF ECONOMIC BEHAVIOR & ORGANIZATION,71,2,10.1016/j.jebo.2009.02.011,92,7.666666666666667
2018,"Peterson, Mark F.; Sondergaard, Mikael; Kara, Aycan",Traversing cultural boundaries in IB: The complex relationships between explicit country and implicit cultural group boundaries at multiple levels,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,49,8,10.1057/s41267-017-0082-z,23,7.666666666666667
2005,"Alkire, S",Subjective quantitative studies of human agency,SOCIAL INDICATORS RESEARCH,74,1,10.1007/s11205-005-6525-0,122,7.625
2013,"Greenwood, Jeremy; Sanchez, Juan M.; Wang, Cheng",Quantifying the impact of financial development on economic development,REVIEW OF ECONOMIC DYNAMICS,16,1,10.1016/j.red.2012.07.003,61,7.625
2016,"Houqe, Muhammad Nurul; Monem, Reza M.","IFRS Adoption, Extent of Disclosure, and Perceived Corruption: A Cross-Country Study",INTERNATIONAL JOURNAL OF ACCOUNTING,51,3,10.1016/j.intacc.2016.07.002,38,7.6
2012,"Ouimet, Marc","A World of Homicides: The Effect of Economic Development, Income Inequality, and Excess Infant Mortality on the Homicide Rate for 165 Countries in 2010",HOMICIDE STUDIES,16,3,10.1177/1088767912442500,68,7.555555555555555
2018,"Bota-Avram, Cristina; Grosanu, Adrian; Rachisan, Paula-Ramona; Gavriletea, Marius Dan","The Bidirectional Causality between Country-Level Governance, Economic Growth and Sustainable Development: A Cross-Country Data Analysis",SUSTAINABILITY,10,2,10.3390/su10020502,22,7.333333333333333
1996,"Simon, G; Gater, R; Kisely, S; Piccinelli, M",Somatic symptoms of distress: An international primary care study,PSYCHOSOMATIC MEDICINE,58,5,10.1097/00006842-199609000-00010,181,7.24
1995,"EVANS, G; WHITEFIELD, S",THE POLITICS AND ECONOMICS OF DEMOCRATIC COMMITMENT - SUPPORT FOR DEMOCRACY IN TRANSITION SOCIETIES,BRITISH JOURNAL OF POLITICAL SCIENCE,25,NA,10.1017/S0007123400007328,188,7.230769230769231
2016,"Fritz, Martin; Koch, Max",Economic development and prosperity patterns around the world: Structural challenges for a global steady-state economy,GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS,38,NA,10.1016/j.gloenvcha.2016.02.007,36,7.2
